Article,Cs,FA,MA,Pb,I,Br,Perovskite,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673",0.05,0.83,0.17,1.0,2.49,0.51,Cs0.05FA0.83MA0.17PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.9,1.113,0.577,12.1
"Rodriguez-Perez JJ, Mhamdi A, Torres J, Montes-Valenzuela I, Rivas JM, Esparza D, Contreras-Solorio DA. Ionic Mobility and Charge Carriers Recombination Analyzed in Triple Cation Perovskite Solar Cells. Coatings. 2023; 13(10):1673",0.05,0.745,0.255,1.0,2.235,0.765,Cs0.05FA0.745MA0.255PbI2.235Br0.765,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.56,1.016,0.6116,11.54
"El-naggar, A.M., Osman, M.M., Alanazi, A.Q. et al. Spectroscopic ellipsometry and solar cell performance of Cs-doped MA0.05FA0.95Pb(I0.98Br0.02)3 triple cation perovskite thin films for solar cell applications. Appl. Phys. A 128, 378 (2022).",0.0,0.95,0.05,1.0,2.94,0.06,FA0.95MA0.05PbBr0.06I2.94,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,20.18,0.972,0.665,13.04
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,21.86,1.0,0.77,16.9
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4,100.0,30.0,22.99,1.04,0.745,17.8
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.83,1.035,0.712,16.3
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,22.35,1.03,0.764,17.7
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,NiOx,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,21.82,0.87,0.783,14.8
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/Ga(AcAc)3,100.0,30.0,22.39,1.04,0.718,16.7
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,NiOx/PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22.92,1.08,0.781,19.2
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4,100.0,30.0,22.48,1.02,0.712,16.3
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:BF4/4F-PEAI/Pb(SCN)2,100.0,30.0,22.16,1.05,0.75,17.3
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/PA/4F-PEAI/Pb(SCN)2,100.0,30.0,21.65,1.03,0.725,16.5
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Pb(SCN)2,100.0,30.0,21.93,1.02,0.802,18.2
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/MASCN,100.0,30.0,22.46,0.98,0.783,17.3
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2,100.0,30.0,22,1.05,0.766,17.7
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Ga(AcAc)3,100.0,30.0,21.87,1.02,0.799,17.9
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/BMIM:PF6,100.0,30.0,22.74,0.97,0.738,16.2
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/KSCN,100.0,30.0,22.54,1.02,0.803,18.5
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/Y6,100.0,30.0,20.1,0.99,0.68,13.6
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI/Pb(SCN)2/Ga(AcAc)3,100.0,30.0,22.06,1.07,0.798,18.7
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/4F-PEAI,100.0,30.0,22.25,1.05,0.759,18.0
"Louks, A.E., Tirawat, R., Yang, M., Habisreutinger, S.N., Harvey, S.P., Schutt, K., Zhu, K., Berry, J.J. and Palmstrom, A.F. (2023), Improving Stability of Triple-Cation Perovskite Solar Cells under High-Temperature Operation. Sol. RRL, 7: 2300248.",0.05,0.87,0.08,1.0,2.76,0.24,Cs0.05MA0.08FA0.87PbI2.76Br0.24,0,,ITO,BCP,C60,,PTAA,,Ag,one-step,spin,,DMF/DMSO/PA,100.0,30.0,21.4,0.92,0.589,11.8
"Lin, Q., Senanayak, S.P., Yaghoobi Nia, N., Alsari, M., Lilliu, S. and Abdi-Jalebi, M. (2023), Impact of A-Site Cation Modification on Charge Transport Properties of Lead Halide Perovskite for Photovoltaics Applications. Energy Technol., 11: 2300358.",0.0,0.0,1.0,1.0,2.55,0.45,MAPbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.5,1.0254,0.7,14.7
"Lin, Q., Senanayak, S.P., Yaghoobi Nia, N., Alsari, M., Lilliu, S. and Abdi-Jalebi, M. (2023), Impact of A-Site Cation Modification on Charge Transport Properties of Lead Halide Perovskite for Photovoltaics Applications. Energy Technol., 11: 2300358.",0.0,0.85,0.15,1.0,2.55,0.45,FA0.85MA0.15PbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.04,1.0285,0.72,16.3
"Lin, Q., Senanayak, S.P., Yaghoobi Nia, N., Alsari, M., Lilliu, S. and Abdi-Jalebi, M. (2023), Impact of A-Site Cation Modification on Charge Transport Properties of Lead Halide Perovskite for Photovoltaics Applications. Energy Technol., 11: 2300358.",0.05,0.8,0.15,1.0,2.55,0.45,Cs0.05FA0.80MA0.15PbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.595,1.065,0.73,17.6
"Lin, Q., Senanayak, S.P., Yaghoobi Nia, N., Alsari, M., Lilliu, S. and Abdi-Jalebi, M. (2023), Impact of A-Site Cation Modification on Charge Transport Properties of Lead Halide Perovskite for Photovoltaics Applications. Energy Technol., 11: 2300358.",0.05,0.8,0.15,1.0,2.55,0.45,Cs0.05FA0.80MA0.15PbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO/RbI,100.0,60.0,23.06,1.1395,0.78,20.5
"Lin, Q., Senanayak, S.P., Yaghoobi Nia, N., Alsari, M., Lilliu, S. and Abdi-Jalebi, M. (2023), Impact of A-Site Cation Modification on Charge Transport Properties of Lead Halide Perovskite for Photovoltaics Applications. Energy Technol., 11: 2300358.",0.05,0.8,0.15,1.0,2.55,0.45,Cs0.05FA0.80MA0.15PbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO/KI,100.0,60.0,23.215,1.162,0.765,20.65
"Temsal, M., Aryal, S., Kaul, A.B. (2023). Triple-Cation Perovskite Photoabsorbers and Solar Cells. In: TMS 2023 152nd Annual Meeting & Exhibition Supplemental Proceedings. TMS 2023. The Minerals, Metals & Materials Series. Springer, Cham. https://doi.org/10.1007/978-3-031-22524-6_43",0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,,,28.48,1.02,0.5505,15.99
"Aryal, S., Temsal, M., Ghavaminia, E., Kaul, A.B. (2023). Stability Study of Cesium-Based Triple Cation Perovskite Solar Cells in Elevated Environmental Ambients. In: TMS 2023 152nd Annual Meeting & Exhibition Supplemental Proceedings. TMS 2023. The Minerals, Metals & Materials Series. Springer, Cham.",0.05,0.79,0.16,1.0,2.45,0.55,Cs0.05 FA0.79 MA0.16 PbI2.45 Br0.55,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,,,,,,,18.85,1.09,0.6975,14.32
"I. Zimmermann, M. AlAtem, O. Fournier, S. Bernard, S. Jutteau, L. Lombez, J. Rousset, Sequentially Slot-Die-Coated Perovskite for Efficient and Scalable Solar Cells. Adv. Mater. Interfaces 2021, 8, 2100743.",0.05,0.55,0.4,1.0,2.88,0.12,Cs0.05MA0.4FA0.55PbI2.88Br0.12,1,,FTO,c-TiO2,SnO2,,spiro,,Au,two-step,coat,,DMF/DMSO,150.0,15.0,22.5,1.089,0.73,18.0
"Ašmontas S, Čerškus A, Gradauskas J, Grigucevičienė A, Juškėnas R, Leinartas K, Lučun A, Petrauskas K, Selskis A, Sužiedėlis A, et al. Impact of Cesium Concentration on Optoelectronic Properties of Metal Halide Perovskites. Materials. 2022; 15(5):1936.",0.0,0.83,0.17,1.0,2.49,0.51,MA0.17FA0.83PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.2,1.13,0.64,14.6
"Ašmontas S, Čerškus A, Gradauskas J, Grigucevičienė A, Juškėnas R, Leinartas K, Lučun A, Petrauskas K, Selskis A, Sužiedėlis A, et al. Impact of Cesium Concentration on Optoelectronic Properties of Metal Halide Perovskites. Materials. 2022; 15(5):1936.",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1MA0.153FA0.747PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.11,0.77,20.2
"Ašmontas S, Čerškus A, Gradauskas J, Grigucevičienė A, Juškėnas R, Leinartas K, Lučun A, Petrauskas K, Selskis A, Sužiedėlis A, et al. Impact of Cesium Concentration on Optoelectronic Properties of Metal Halide Perovskites. Materials. 2022; 15(5):1936.",0.2,0.664,0.136,1.0,2.49,0.51,Cs0.2MA0.136FA0.664PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.8,1.09,0.74,16.8
"Ašmontas S, Čerškus A, Gradauskas J, Grigucevičienė A, Juškėnas R, Leinartas K, Lučun A, Petrauskas K, Selskis A, Sužiedėlis A, et al. Impact of Cesium Concentration on Optoelectronic Properties of Metal Halide Perovskites. Materials. 2022; 15(5):1936.",0.4,0.498,0.102,1.0,2.49,0.51,Cs0.4MA0.102FA0.498PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.3,1.01,0.71,13.1
"Ašmontas S, Čerškus A, Gradauskas J, Grigucevičienė A, Juškėnas R, Leinartas K, Lučun A, Petrauskas K, Selskis A, Sužiedėlis A, et al. Impact of Cesium Concentration on Optoelectronic Properties of Metal Halide Perovskites. Materials. 2022; 15(5):1936.",0.6,0.332,0.068,1.0,2.49,0.51,Cs0.6MA0.068FA0.332PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,16,0.96,0.7,10.8
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,15.61,0.8,0.43,5.37
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,1%Nb–PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,15.97,0.81,0.44,5.69
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,2%Nb–PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,16.09,0.8,0.47,6.04
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,3%Nb–PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,16.37,0.8,0.51,6.67
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,4%Nb–PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,16.84,0.79,0.51,6.78
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,5%Nb–PlanarTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,16.98,0.78,0.54,7.15
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.4,0.84,0.39,4.72
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,1%Nb–mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.52,0.84,0.41,5.0
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,2%Nb–mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.7,0.83,0.41,5.0
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,3%Nb–mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.91,0.83,0.44,5.44
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,4%Nb–mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.98,0.83,0.47,5.84
"ZARE BIDAKI A, ABDIZADEH H, POURSHABAN E, et al. Comparing the planar and porous Nb-doped TiO2 photoanode of triple cation perovskite solar cells [J]. Materials Science in Semiconductor Processing, 2022, 138: 106259.",0.05,0.7885,0.1615,1.0,2.49,0.51, Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,,FTO,5%Nb–mpTiO2,,,,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,15.14,0.82,0.49,6.08
"SATALE V V, KUMAR N, LEE H B, et al. Spray-assisted deposition of a SnO2 electron transport bilayer for efficient inkjet-printed perovskite solar cells [J]. Inorganic Chemistry Frontiers, 2023, 10(12): 3558-67.",0.1,0.75,0.15,1.0,2.55,0.45,Cs0.10FA0.75MA0.15PbBr0.45I2.55,1,,ITO,SpinSnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,100.0,60.0,17.92,1.168,0.7056,13.48
"SATALE V V, KUMAR N, LEE H B, et al. Spray-assisted deposition of a SnO2 electron transport bilayer for efficient inkjet-printed perovskite solar cells [J]. Inorganic Chemistry Frontiers, 2023, 10(12): 3558-67.",0.1,0.75,0.15,1.0,2.55,0.45,Cs0.10FA0.75MA0.15PbBr0.45I2.55,1,,ITO,SpraySnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,100.0,60.0,18.31,1.182,0.7064,14.49
"SATALE V V, KUMAR N, LEE H B, et al. Spray-assisted deposition of a SnO2 electron transport bilayer for efficient inkjet-printed perovskite solar cells [J]. Inorganic Chemistry Frontiers, 2023, 10(12): 3558-67.",0.1,0.75,0.15,1.0,2.55,0.45,Cs0.10FA0.75MA0.15PbBr0.45I2.55,1,,ITO,BilayerSnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,100.0,60.0,18.32,1.187,0.7773,15.76
"T. Singh, T. Miyasaka, Adv. Energy Mater. 2018, 8, 1700677. ",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,23.5,1.11,0.77,20.1
"T. Singh, T. Miyasaka, Adv. Energy Mater. 2018, 8, 1700677. ",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,81.0,spiro,251.0,Au,one-step,spin,EA,DMF/DMSO,100.0,60.0,23.3,1.15,0.74,19.8
"T. Singh, T. Miyasaka, Adv. Energy Mater. 2018, 8, 1700677. ",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,82.0,spiro,252.0,Au,one-step,spin,T,DMF/DMSO,100.0,60.0,23.6,1.15,0.73,19.9
"T. Singh, T. Miyasaka, Adv. Energy Mater. 2018, 8, 1700677. ",0.0,0.83,0.17,1.0,2.49,0.51,FA0.83MA0.17PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,23.7,1.11,0.77,20.1
"T. Singh, T. Miyasaka, Adv. Energy Mater. 2018, 8, 1700677. ",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1FA0.747MA0.153PbI2.49Br0.51,1,,FTO,c-TiO2,mp-TiO2,80.0,spiro,250.0,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.09,0.73,17.8
